wlfresh,variable,min,q1,med,q3,max
0,canada,0,0,0,0,0
0,ce,0,1,1,1,1
0,cult,0,1,1,1,1
0,forest,0,0,0,0,0
0,lninc,10.727,10.973,10.973,11.034,11.416
0,lninc_cad2017,10.98936426,11.23536426,11.23536426,11.29636426,11.67836426
0,lnwtp,3.319,5.106,5.451,5.688,7.561
0,lnyear,2.197,2.565,2.565,3.219,3.296
0,local,0,0,0,0,0
0,lumpsum,0,0,0,1,1
0,median,0,0,0,0,0
0,nema,0,0,1,1,1
0,nmw,0,0,0,0,0
0,nrev,0,0,0,0,1
0,obsid,1021,1082,1093,1161,1243
0,prov,0,1,1,1,1
0,q0,11272,11395,11404,32362,2131000
0,q0alt,0,0,11374,32362,2131000
0,q1,11407,11407,11407,33862,2382000
0,q1alt,3,12,11407,33862,2382000
0,reg,0,1,1,1,1
0,sagulf,0,0,0,0,1
0,studyid,102,108,109,116,124
0,volunt,0,0,0,0,0
0,wtp,27.63270403,165.0089971,232.9910405,295.3024248,1921.766319
0,X2017.income.US_Can.,45569.77742,58279.16892,58279.16892,61944.86536,90762.36534
0,X2017inc_cad,59240.71065,75762.91959,75762.91959,80528.32497,117991.0749
1,canada,0,0,0,1,1
1,ce,0,0,0,0,1
1,cult,0,0,0,1,1
1,forest,0,0,0,1,1
1,lninc,4.761,4.825,10.643,11.013,11.484
1,lninc_cad2017,10.90227951,11.02536426,11.32936426,11.36093911,11.74636426
1,lnwtp,0,2.932,4.164,5.554,7.014814351
1,lnyear,0,1.301,1.342,1.609,2.89
1,local,0,0,1,1,1
1,lumpsum,0,0,0,1,1
1,median,0,0,0,1,1
1,nema,0,0,0,0,1
1,nmw,0,0,0,1,1
1,nrev,0,0,1,1,1
1,obsid,1011,1151,1253,1282,1304
1,prov,0,0,0,1,1
1,q0,0,5807,11997,69580,988422
1,q0alt,0,908,9000,34000,219890
1,q1,1408,8400,14520,100000,1976843
1,q1alt,29,2499,10125,70080,220000
1,reg,0,0,1,1,1
1,sagulf,0,0,0,0,1
1,studyid,101,115,125,128,130
1,volunt,0,0,0,1,1
1,wtp,-5.25,18.76512324,64.32832195,258.2685668,1113
1,X2017.income.US_Can.,41898.2777,54300,65381.85157,83900,97600
1,X2017inc_cad,54300,61412.22905,83230.09369,85900,126293.5533
