"","x"
"1",6.14853976776196
"2",1.59245821483561
"3",1.98449519175255
"4",2.12804447999852
"5",2.18485969465046
"6",4.4021180604496
"7",3.15899152922365
"8",2.13289155530044
"9",2.57004588776624
"10",2.8523169653281
"11",5.53836655570988
"12",5.00880268997041
"13",3.99515213573944
"14",4.89376048646406
"15",5.36467455616975
"16",4.08525241257766
"17",1.78576632862864
"18",2.19909308689319
"19",4.28752878852844
"20",4.26416286103251
"21",4.30677485395372
"22",7.1989052470863
"23",7.21100462765111
"24",5.25530928388946
"25",5.26478557550755
"26",5.2552929802866
"27",5.50241568762254
"28",5.51254435282768
"29",5.50324157494553
"30",5.09804246856557
"31",5.36760782044977
"32",5.58329263528834
"33",5.8540068281591
"34",6.09743713400387
"35",4.22893277185952
"36",4.20769621610943
"37",4.21695950085348
"38",1.35565935919224
"39",1.99586582006025
"40",1.58447368925925
"41",2.22731475324777
"42",2.10076037660289
"43",2.88345783020935
