wlfresh,variable,mean,sd,min,med,max,n.valid,pct.valid
0,canada,0,0,0,0,0,17,100
0,ce,0.8823529411764706,0.3321055820775357,0,1,1,17,100
0,cult,0.7647058823529411,0.4372373160976031,0,1,1,17,100
0,forest,0,0,0,0,0,17,100
0,lninc,11.300246612941176,0.1920842531133607,10.98936426,11.23536426,11.67836426,17,100
0,lnwtp,5.308941176470588,1.1897754762237829,3.319,5.451,7.561,17,100
0,lnyear,2.7796470588235294,0.4399690246449842,2.197,2.565,3.296,17,100
0,local,0,0,0,0,0,17,100
0,lumpsum,0.47058823529411764,0.5144957554275266,0,0,1,17,100
0,median,0,0,0,0,0,17,100
0,nema,0.7058823529411765,0.46966821831386213,0,1,1,17,100
0,nmw,0,0,0,0,0,17,100
0,nrev,0.23529411764705882,0.4372373160976031,0,0,1,17,100
0,obsid,1110.0588235294117,75.50038955879242,1021,1093,1243,17,100
0,prov,0.8235294117647058,0.3929526239966879,0,1,1,17,100
0,q0,374819.1176470588,744912.8783538115,11272,11404,2131000,17,100
0,q1,431429.0588235294,859075.9226307846,11407,11407,2382000,17,100
0,reg,0.7647058823529411,0.4372373160976031,0,1,1,17,100
0,sagulf,0.17647058823529413,0.3929526239966879,0,0,1,17,100
0,studyid,110.76470588235294,7.578995742879675,102,109,124,17,100
0,volunt,0,0,0,0,0,17,100
1,canada,0.5116279069767442,0.5057805388588732,0,1,1,43,100
1,ce,0.13953488372093023,0.350604603563426,0,0,1,43,100
1,cult,0.4186046511627907,0.49916874422979135,0,0,1,43,100
1,forest,0.3953488372093023,0.49471179121551506,0,0,1,43,100
1,lninc,11.264689291627906,0.22650395999396394,10.90227951,11.33636426,11.74636426,43,100
1,lnwtp,4.052936389813953,1.6730618775164559,0,3.857,7.014814351,43,100
1,lnyear,1.7277155595813953,1.4410057927470978,0,1.342,7.606884531,43,100
1,local,0.5116279069767442,0.5057805388588732,0,1,1,43,100
1,lumpsum,0.27906976744186046,0.45385026875081025,0,0,1,43,100
1,median,0.2558139534883721,0.44148144844882664,0,0,1,43,100
1,nema,0.06976744186046512,0.25776963111323353,0,0,1,43,100
1,nmw,0.27906976744186046,0.45385026875081025,0,0,1,43,100
1,nrev,0.5581395348837209,0.5024855165595915,0,1,1,43,100
1,obsid,1215.6976744186047,90.10140712492493,1011,1261,1312,43,100
1,prov,0.32558139534883723,0.47413732351544274,0,0,1,43,100
1,q0,238002.23255813954,423006.9784935917,0,11997,1307159,43,100
1,q1,326265.0930232558,594057.9288216329,1408,15250,1976843,43,100
1,reg,0.6744186046511628,0.47413732351544274,0,1,1,43,100
1,sagulf,0.09302325581395349,0.293902598732179,0,0,1,43,100
1,studyid,121.34883720930233,8.98115413341216,101,126,131,43,100
1,volunt,0.27906976744186046,0.45385026875081025,0,0,1,43,100
