y_prep_linfresh_us,V2,wtp_y,wtp_ypred,TE
23.85620867350749,6.226536669,504.9999998545423,22941393069.5816,4542850014.096936
23.860613065970625,6.180016654,482.00000016780746,23042658811.6494,4780634506.561646
5.952195257841299,3.589059119,35.200000006091535,383.5967019486149,989.7633576199761
5.946018031878394,5.451767801,232.16999993916556,381.22828387409436,64.20221560666144
5.9508386537021645,7.014814351,1111.9999996933186,383.07531021191096,65.55078144626256
6.2116985630275305,3.625140613,36.52999999448574,497.54734660068385,1262.023943815465
6.200754707934575,5.47478851,237.6000000802135,492.1210630706344,107.12165947158876
6.209012670067789,6.992757973,1087.7199997255746,496.2100984489607,54.38071391772225
14.770855406587938,5.763088581,317.3300001420997,2599565.8854288575,819099.5349525028
15.29639609664339,5.784932262,324.36000013047936,4396836.527170334,1355442.1523620763
15.713461504213852,5.806248806,331.3699999332963,6672207.71138493,2013421.958151922
16.421821227353387,5.848632898,345.75999999984754,13548970.892964927,3918505.6492858925
17.483593248011175,5.928524747,374.5999998745091,39176718.890956566,10458180.540331222
5.404458257333425,4.990296523,145.97999998519535,221.3957065998785,51.66167051810624
5.400176423532843,4.446291681,84.31000000677332,220.44548095219696,161.47014699856095
5.4111420041207126,4.330470148,74.98000001827474,222.88712175791164,197.2620988311387
3.253463629025048,2.841998174,16.150000006655077,24.879822965679484,54.05463130295375
3.918675234438614,1.778336449,4.920000000616187,49.333720211507405,902.7178903522112
3.4900062585240654,0,0,31.78615289851671,Inf
4.171635209265421,1.650579856,4.210000001222914,63.82136198311056,1415.9468400135827
11.766444814932568,2.527702889,11.524702434948905,128854.2312682785,1117969.9197709896
13.656912467796042,3.230280058,24.286737732600557,853338.2554943901,3513497.6881281086
